model,roc_auc,pr_auc,accuracy,balanced_acc,precision,recall,specificity,f1,tn,fp,fn,tp
0 majority class,0.5,0.4489795918367347,0.4489795918367347,0.5,0.4489795918367347,1.0,0.0,0.6197183098591549,0,351,0,286
1 slope-only LR,0.7887055963979042,0.6837445593185275,0.7080062794348508,0.7195027195027195,0.6329787234042553,0.8321678321678322,0.6068376068376068,0.7190332326283988,213,138,48,238
2 handcrafted + RF,0.8182714721176259,0.7590225472416602,0.7158555729984302,0.7243589743589745,0.6470588235294118,0.8076923076923077,0.6410256410256411,0.71850699844479,225,126,55,231
3 handcrafted + SVM,0.8262158069850377,0.7765920302094721,0.7346938775510204,0.744042994042994,0.6620498614958449,0.8356643356643356,0.6524216524216524,0.7387944358578052,229,122,47,239
4 RF (optical only),0.7290658059888828,0.6617635085294069,0.6687598116169545,0.6725589225589226,0.6132930513595166,0.7097902097902098,0.6353276353276354,0.6580226904376013,223,128,83,203
4 RF (terrain only),0.7877692108461338,0.7086611117605404,0.7158555729984302,0.7233877233877234,0.6495726495726496,0.7972027972027972,0.6495726495726496,0.7158555729984302,228,123,58,228
5 slope-only (elev-matched),0.7119780084012849,0.7510076307762823,0.6918918918918919,0.6238262910798122,0.6875,0.9166666666666666,0.33098591549295775,0.7857142857142857,47,95,19,209
