epoch,loss,val_pr_auc,val_roc_auc,lr
1,0.4868014006001098,0.660466453379495,0.7233863721995188,0.00029988435543610843
2,0.4078979932429539,0.8171780853059144,0.8651614835424938,0.00029953760005996916
3,0.3752461701407986,0.8157220587839965,0.8732767198987528,0.00029896026854323894
4,0.38010875131790856,0.8254397604925013,0.8763489165193364,0.00029815325108927063
5,0.3692889953718939,0.7999925796960428,0.8580992957134163,0.00029711779206048454
6,0.36981241454021546,0.816714320644003,0.8688036789071482,0.00029585548805965143
7,0.3592116327830566,0.8217654051551461,0.8690838477813523,0.000294368285468047
8,0.3505954335207755,0.8261689110390439,0.8711802838400525,0.00029265847744427303
9,0.3482047673669497,0.8204830853892348,0.8665043619395414,0.0002907287003883726
10,0.3456549779294339,0.7954107408077924,0.854003033552638,0.00028858192987669295
11,0.3398640275483041,0.8048316951331116,0.8559835376633916,0.00028622147607376214
12,0.34000031547744497,0.8048233237976423,0.8610458993903911,0.00028365097862825513
13,0.3331166733501278,0.8226057558646583,0.8669680897313278,0.0002808744010609195
14,0.327332577537541,0.8267816360504144,0.8716729946188254,0.0002778960246531138
15,0.3381690296628746,0.8243672585634906,0.8657314822865645,0.0002747204418453818
16,0.3504496429672285,0.800133732854025,0.8526311721686037,0.0002713525491562421
17,0.32999301520786184,0.8172253132440789,0.8626786076573051,0.00026779753963211174
18,0.3321852290554674,0.8114479346331688,0.8577031948912657,0.00026406089484000466
19,0.3205420157844733,0.8308452546334559,0.8655382623733202,0.00026014837641535286
20,0.3211064743156455,0.7802046194734297,0.8365649363823436,0.0002560660171779821
21,0.31140183164285085,0.8065409970064441,0.8603937821831917,0.0002518201118299413
22,0.303889348888012,0.7748983139979907,0.8327488430957695,0.0002474172072495276
23,0.3155332786529242,0.8085624879797785,0.8606111545855916,0.0002428640923964751
24,0.30998481798914906,0.7789815962500719,0.8395501840419674,0.000238167787843871
25,0.29674384309182056,0.7730844782453907,0.8351544310156604,0.00023333553495294036
26,0.3016820600523951,0.7944485162521384,0.8476847423895506,0.00022837478470739235
27,0.2865093195981809,0.8119936264852416,0.8517037165850312,0.0002232931862245433
28,0.289942838797594,0.7790060065509772,0.8321498613647124,0.00021809857496093207
29,0.29067453317262504,0.7430797836083783,0.8168565052314293,0.00021279896063061427
30,0.2884075508183712,0.8106069991659357,0.8654126694297114,0.00020740251485476354
31,0.28346100337781865,0.8171334377923004,0.8608913234597958,0.000201917558561624
32,0.29013785941712233,0.7633891010413705,0.8287781738785999,0.0001963525491562422
33,0.29048290131618987,0.8021779778810643,0.846651015853694,0.0001907160674797612
34,0.2896936937212187,0.8130695847057651,0.8556743858022009,0.0001850168045783859
35,0.27806134122132015,0.8226333778343392,0.8655286013776579,0.00017926354830241934
36,0.2768622154592436,0.7623120813875987,0.8222280188196195,0.00017346516975603473
37,0.2712544883116091,0.7860856072784771,0.8357437517510555,0.00016763060961867574
38,0.2671031918886144,0.7749137496935639,0.8254741133621231,0.00016176886435917683
39,0.2701964116963223,0.793665544288422,0.8376759508834981,0.00015588897236386038
40,0.27596749505484924,0.8077215878829456,0.859635394023708,0.00015000000000000007
41,0.2592984456515216,0.8099435634191114,0.8491049087518959,0.0001441110276361398
42,0.2542923136522367,0.790538685104074,0.8397917089335226,0.00013823113564082333
43,0.25226252050119125,0.7874208820155318,0.8320242684211034,0.00013236939038132443
44,0.24759608256080834,0.7644559459592122,0.8213585292100204,0.00012653483024396546
