variant,n_channels,roc_auc,pr_auc
optical only (5ch),5,0.7494172494172494,0.6856071755628994
terrain only (3ch),3,0.815292969139123,0.7212816466056002
no curvature (7ch),7,0.8098539637001174,0.7320193291004121
full (8ch),8,0.8281732512501743,0.7686871174037386
