,threshold,roc_auc,pr_auc,accuracy,recall,precision,specificity,f1,tn,fp,fn,tp
default_0.5,0.5,0.828252943637559,0.7659603938477817,0.750392464678179,0.7762237762237763,0.7003154574132492,0.7293447293447294,0.736318407960199,256,95,64,222
chosen,0.5300000000000001,0.828252943637559,0.7659603938477817,0.7613814756671899,0.7727272727272727,0.7175324675324676,0.7521367521367521,0.7441077441077442,264,87,65,221
