landslide_id,longitude,latitude,utm_x,utm_y,label
LS_00002,80.51683883666992,7.710088729858398,446718.48264792,852278.0739069224,1
LS_00005,80.88276280854878,7.63932991027832,487069.44783339486,844427.3156439769,1
LS_00006,80.74507126055266,7.611654281616211,471881.0265546401,841374.3135541024,1
LS_00011,80.74383745193481,7.618221282958984,471745.3650903587,842100.3799732524,1
LS_00020,80.43869334661395,7.600591861936891,438084.79232117446,840183.1975278642,1
LS_00025,80.44469239758857,7.621555640685408,438749.5160425305,842499.9860122435,1
LS_00028,80.42002067868671,7.623325347900391,436028.3973308264,842699.212123324,1
LS_00032,80.41519943086126,7.608426845055674,435494.3686749111,841052.8232186077,1
LS_00035,80.40518124898274,7.625118255615234,434391.8278373353,842899.6539478377,1
LS_00040,80.41499582926431,7.601989746093751,435470.9482341701,840341.199535602,1
LS_00041,80.41586235591343,7.593391418457031,435565.25251951837,839390.4821190786,1
LS_00046,80.40971607632108,7.598752975463867,434888.0560311717,839984.1480700192,1
LS_00047,80.36613898277282,7.533100128173828,430070.477785729,832732.6314844717,1
LS_00053,80.68380387624106,7.598594665527344,465122.0392471748,839935.0197426465,1
LS_00057,80.6759934425354,7.596155166625977,464260.3002081295,839665.9667659085,1
LS_00059,80.69453430175781,7.603395462036133,466306.0424096083,840464.903471637,1
LS_00063,80.7437105178833,7.574085235595703,471728.4791036781,837221.1253753087,1
LS_00066,80.78065518538156,7.512409210205078,475800.47264575574,830400.6133816488,1
LS_00073,80.8869047164917,7.443538665771484,487520.6685502918,822782.5934867099,1
LS_00076,80.89619318644205,7.437519073486328,488545.43601178576,822116.8832304758,1
LS_00077,80.90897769927979,7.436395645141602,489956.1189204084,821992.3791254746,1
LS_00082,80.89709490117892,7.430517196655273,488644.7559663336,821342.8108998222,1
LS_00084,80.89128398895264,7.430421829223633,488003.5373254875,821332.4212845832,1
LS_00086,80.88670744214738,7.417448043823242,487498.16302183346,819898.311549487,1
LS_00089,80.89321231842041,7.414026260375977,488215.8861406,819519.8597778726,1
LS_00092,80.91912937164307,7.434469223022461,491076.26990008,821779.1981029856,1
LS_00093,80.86098204718695,7.478647232055664,484661.48790994426,826664.6284721886,1
LS_00094,80.85299110412598,7.464570999145509,483779.2881286724,825108.7990463696,1
