landslide_id,longitude,latitude,area_m2,perimeter_m,min_lon,min_lat,max_lon,max_lat
LS_00001,80.42468905448914,7.7539520263671875,3110.0298185188904,285.1795047031341,80.41887420845543,7.748147590761671,80.43049782246398,7.75974113354245
LS_00002,80.51683883666992,7.710088729858398,4723.83769808872,320.8035505200199,80.51102853567767,7.704292712067415,80.52264853034659,7.715883865270182
LS_00003,80.51839870876736,7.711954116821289,3076.973495553184,297.9241079566788,80.51258857311878,7.706158406193898,80.5242085821102,7.717749521906811
LS_00004,80.52053302457792,7.713396087960643,2097.992242584234,176.6965140274656,80.51472300568346,7.707600521904921,80.5263430020723,7.719191585016726
LS_00005,80.88276280854878,7.63932991027832,4509.776772924542,338.4848719388774,80.8769584769458,7.633539096839881,80.88856696885364,7.645120728419026
LS_00006,80.74507126055266,7.611654281616211,3938.8451104332835,342.5034367827832,80.73926550964657,7.605861629740085,80.75087684722853,7.617446859443902
LS_00007,80.7443904876709,7.614654541015625,1408.9070832809548,160.36941700905055,80.73859041268378,7.6088562400125825,80.75020185102794,7.620441488252704
LS_00008,80.7440399169922,7.615312576293945,477.05814237202617,87.74941660552533,80.73823408709018,7.609519958002859,80.74984555313293,7.6211052157005295
LS_00009,80.74348866939545,7.6157379150390625,969.0207363614046,123.9266443186949,80.7376828426079,7.6099453099763945,80.7492943347757,7.621530582089188
LS_00010,80.74371645185683,7.616903305053711,2326.4595439097393,222.8535060457837,80.73791060976467,7.611110635460742,80.74952212844418,7.6226959021028735
LS_00011,80.74383745193481,7.618221282958984,3337.8768833296617,320.0736694350086,80.73803156788168,7.612428615159915,80.74964312009395,7.6240138791486745
LS_00012,80.68588409423828,7.615713119506836,1018.1827648939852,117.10840669896402,80.68007755310758,7.609910299272061,80.6916905320659,7.621497055756908
LS_00013,80.68632745742798,7.615650177001953,421.25584299020056,79.57928243078766,80.68052091776835,7.60985676707071,80.69213388382106,7.621443512145734
LS_00014,80.68494153022766,7.615566253662109,317.1841460074261,66.74020942918797,80.67913496087564,7.609772826483338,80.6907479602272,7.621359607081057
LS_00015,80.68754662770328,7.614140507224002,712.916812080675,104.7386635431991,80.68174010236544,7.6083471144661905,80.69335299476032,7.61993382740235
LS_00016,80.54627323150635,7.634593963623046,4108.176451356791,335.0086267025692,80.5404642808547,7.628798767187423,80.55208135591668,7.6403890922086894
LS_00017,80.53814959526062,7.671596527099609,3092.235132783225,281.1555939407458,80.5323403315982,7.66580120780919,80.54395867345455,7.677391777609365
LS_00018,80.44357872009277,7.611795425415039,2237.92845022072,194.9820485775335,80.43776897589679,7.6059986207022225,80.44938797058116,7.617591486434458
LS_00019,80.44066715240479,7.609737396240234,3043.1642277718365,303.1002548233624,80.43485757080991,7.603941078242346,80.4464765784025,7.61553401321208
LS_00020,80.43869334661395,7.600591861936891,3890.7259800007914,274.93000158020334,80.43288378121704,7.594795342258157,80.44450257382306,7.606388313051236
LS_00021,80.44738213134139,7.601108831136435,1051.866859695677,129.21020857288505,80.44157275459095,7.595312419174029,80.45319134656232,7.606905175636583
LS_00022,80.44636535644531,7.601203918457031,557.2323882662646,86.27425101817303,80.44055590749,7.595407646915358,80.45217452744541,7.6070004286943185
LS_00023,80.44389565785727,7.600603103637694,5556.5427666245905,577.4550323229881,80.43808741252663,7.594806641217036,80.44970607641115,7.606399483267379
LS_00024,80.44452085949126,7.619165420532227,13111.38127735673,563.148654666931,80.43871010577777,7.613370383883735,80.45032928998353,7.624963236660045
LS_00025,80.44469239758857,7.621555640685408,23693.050804619932,838.1874829621012,80.43888578987497,7.61575732105078,80.45050503868949,7.627350172824334
LS_00026,80.42071606562688,7.623752593994141,4364.9489006858685,400.6550193990852,80.41490636550091,7.617955655798106,80.42652627378365,7.629549105219634
LS_00027,80.41923522949219,7.622968673706055,4253.3407474827945,322.9312260585423,80.41342802386815,7.617156640106683,80.42504794565096,7.628750124921011
LS_00028,80.42002067868671,7.623325347900391,5089.950057232987,560.2356813788874,80.41421064040088,7.617528580706856,80.42583055355836,7.629122046710454
LS_00029,80.41924285888672,7.623945236206055,1124.0000902843092,141.25914940265216,80.41343280572893,7.618148313575244,80.42505275615227,7.629741799754282
LS_00030,80.4185360179228,7.624311447143555,638.1278869385266,108.28109709696923,80.41272593241158,7.618514764891682,80.42434591099648,7.630108269111903
LS_00031,80.41737079620361,7.619581222534181,2255.7434058561885,248.48286484365823,80.41156091788177,7.613784424996964,80.42318078817168,7.625377950938625
LS_00032,80.41519943086126,7.608426845055674,5213.755697728114,335.0192850943227,80.4093894984035,7.602629517570125,80.42100909922154,7.6142230803451625
LS_00033,80.41419879595438,7.606407165527344,592.1920517134698,102.7689180536367,80.40838847710478,7.6006029479462835,80.42000804399107,7.61219653235457
LS_00034,80.40617203712463,7.622467041015625,2553.331748815228,259.6035247639829,80.40036186941903,7.61667010452866,80.41198210081399,7.628263911595473
LS_00035,80.40518124898274,7.625118255615234,2952.3262929306848,290.55529252792934,80.39937086521967,7.619321303294227,80.41099119816488,7.630915138927787
LS_00036,80.404720723629,7.626487731933594,1818.5581479622322,259.7355108692758,80.39891049275326,7.6206906485112125,80.41053087689048,7.632284497633303
LS_00037,80.41618251800537,7.605379104614258,386.6912274790547,71.57751671336082,80.41037457095246,7.599570858727926,80.42199405885198,7.611164392580415
LS_00038,80.41586176554361,7.603116989135742,975.2513501495699,126.5982138288733,80.4100521770725,7.597320190153045,80.4216716078035,7.6089137285636745
LS_00039,80.41670735677084,7.601846694946289,413.22512696188323,89.38021519884563,80.41089745309203,7.596049900006185,80.42251682617486,7.60764341565607
LS_00040,80.41499582926431,7.601989746093751,4508.920320793782,343.9506714623173,80.40918007719227,7.596196748756851,80.4207994969665,7.607790306975725
LS_00041,80.41586235591343,7.593391418457031,3393.9779496065316,250.00329348262136,80.41005273175244,7.5875946223206645,80.42167188119902,7.599188146040311
LS_00042,80.41572427749634,7.592876434326172,2304.862599999431,205.97699723074393,80.40991452802935,7.587079640772909,80.42153366600292,7.598673167118641
LS_00043,80.40946578979492,7.599830627441406,751.1221112822783,106.55339383924914,80.40365603071203,7.594033912004704,80.4152755243141,7.60562760305501
LS_00044,80.40903568267822,7.59942626953125,935.7758209093284,122.93654912683999,80.40322563907452,7.593629165938615,80.41484513158235,7.605222866967933
LS_00045,80.41072750091553,7.599109649658203,1745.728672944651,165.31274926893738,80.40491807178788,7.593313156203465,80.41653751337451,7.6049068150685235
LS_00046,80.40971607632108,7.598752975463867,2437.8473033245828,239.0615305654155,80.40390630458262,7.592956407023384,80.41552576081708,7.604550090260606
LS_00047,80.36613898277282,7.533100128173828,8825.490864781968,416.27935227040996,80.36032996534553,7.527302770380761,80.3719485910423,7.5388974126787645
LS_00048,80.69516531626383,7.572872161865234,20826.73505719799,1288.989851756091,80.6893592422483,7.56707867618523,80.70097078679787,7.5786651714523945
LS_00049,80.69279766082764,7.599002838134766,13643.584438597189,810.4932112503216,80.68701742480914,7.593190228067021,80.69862975754326,7.604776797310298
