landslide_id,longitude,latitude,area_m2,perimeter_m,min_lon,min_lat,max_lon,max_lat,utm_x,utm_y
LS_00002,80.51683883666992,7.710088729858398,4723.83769808872,320.8035505200199,80.51102853567767,7.704292712067415,80.52264853034659,7.715883865270182,446718.48264792,852278.0739069224
LS_00005,80.88276280854878,7.63932991027832,4509.776772924542,338.4848719388774,80.8769584769458,7.633539096839881,80.88856696885364,7.645120728419026,487069.44783339486,844427.3156439769
LS_00006,80.74507126055266,7.611654281616211,3938.845110433284,342.5034367827832,80.73926550964657,7.605861629740085,80.75087684722853,7.617446859443902,471881.0265546401,841374.3135541024
LS_00011,80.74383745193481,7.618221282958984,3337.8768833296617,320.0736694350086,80.73803156788168,7.612428615159915,80.74964312009395,7.624013879148674,471745.3650903587,842100.3799732524
LS_00020,80.43869334661395,7.600591861936891,3890.725980000792,274.93000158020334,80.43288378121704,7.594795342258157,80.44450257382306,7.606388313051236,438084.79232117446,840183.1975278642
LS_00025,80.44469239758857,7.621555640685408,23693.05080461993,838.1874829621012,80.43888578987497,7.61575732105078,80.45050503868949,7.627350172824334,438749.5160425305,842499.9860122435
LS_00028,80.42002067868671,7.623325347900391,5089.950057232987,560.2356813788874,80.41421064040088,7.617528580706856,80.42583055355836,7.629122046710454,436028.3973308264,842699.212123324
LS_00032,80.41519943086126,7.608426845055674,5213.755697728114,335.0192850943227,80.4093894984035,7.602629517570125,80.42100909922154,7.614223080345162,435494.3686749111,841052.8232186077
LS_00035,80.40518124898274,7.625118255615234,2952.3262929306848,290.55529252792934,80.39937086521967,7.619321303294227,80.41099119816488,7.630915138927787,434391.8278373353,842899.6539478377
LS_00040,80.41499582926431,7.601989746093751,4508.920320793782,343.9506714623173,80.40918007719227,7.596196748756851,80.4207994969665,7.607790306975725,435470.9482341701,840341.199535602
LS_00041,80.41586235591343,7.593391418457031,3393.977949606532,250.00329348262136,80.41005273175244,7.587594622320664,80.42167188119902,7.599188146040311,435565.25251951837,839390.4821190786
LS_00046,80.40971607632108,7.598752975463867,2437.8473033245828,239.0615305654155,80.40390630458262,7.592956407023384,80.41552576081708,7.604550090260606,434888.0560311717,839984.1480700192
LS_00047,80.36613898277282,7.533100128173828,8825.490864781968,416.27935227041,80.36032996534553,7.527302770380761,80.3719485910423,7.5388974126787645,430070.477785729,832732.6314844717
LS_00053,80.68380387624106,7.598594665527344,5534.12459431493,361.0931145708551,80.67799755860398,7.592801229577175,80.68961011202913,7.604388029651408,465122.0392471748,839935.0197426465
LS_00057,80.6759934425354,7.596155166625977,7037.994698869228,568.6513615500147,80.67018704415014,7.590361631656578,80.6817997295663,7.601948630097634,464260.3002081295,839665.9667659085
LS_00059,80.69453430175781,7.603395462036133,2367.363671319081,265.31598466993626,80.68872809994127,7.597602243716447,80.70034051199016,7.609188771466773,466306.0424096083,840464.903471637
LS_00063,80.7437105178833,7.574085235595703,9238.773474850694,734.7191046948858,80.73790530210108,7.568292491909461,80.74951563302335,7.5798777431226,471728.4791036781,837221.1253753087
LS_00066,80.78065518538156,7.512409210205078,33429.42859879057,1915.5106826201545,80.7748511202598,7.506617171772458,80.78645880502141,7.51820145541405,475800.47264575574,830400.6133816488
LS_00073,80.8869047164917,7.443538665771484,2084.0520405902143,233.4543324364778,80.8811030799755,7.437747854611441,80.89270616860354,7.449329402615197,487520.6685502918,822782.5934867099
LS_00076,80.89619318644205,7.437519073486328,6310.726320365378,776.7084446212634,80.89039186257777,7.431728380538765,80.90199455082269,7.443309689897483,488545.43601178576,822116.8832304758
LS_00077,80.90897769927979,7.436395645141602,1021.0501927078744,123.96859841759706,80.90317645360294,7.430605146636612,80.91477878137711,7.442186126218935,489956.1189204084,821992.3791254746
LS_00082,80.89709490117892,7.430517196655273,6966.028925075151,641.7158647350315,80.89129359581135,7.424726536729695,80.90289607444313,7.436307823960782,488644.7559663336,821342.8108998222
LS_00084,80.89128398895264,7.430421829223633,24046.95015859575,1793.8143417160672,80.88548066077,7.424630728355559,80.89708328685943,7.4362121653319235,488003.5373254875,821332.4212845832
LS_00086,80.88670744214738,7.417448043823242,2429.892690653249,238.058742348378,80.88090612096248,7.411657230771262,80.89250851979764,7.423238787107014,487498.16302183346,819898.311549487
LS_00089,80.89321231842041,7.414026260375977,3186.9498552542727,314.4262353927448,80.88741117796522,7.408235550297193,80.89901331846448,7.419816939969294,488215.8861406,819519.8597778726
LS_00092,80.91912937164307,7.434469223022461,3589.043781957716,283.8480484524603,80.91332817264043,7.4286788962320704,80.92493018639637,7.440259613857201,491076.26990008,821779.1981029856
LS_00093,80.86098204718695,7.478647232055664,59352.70705999245,3855.741023639936,80.85517992869475,7.472856261015741,80.86678462780024,7.484438474777558,484661.48790994426,826664.6284721886
LS_00094,80.85299110412598,7.464570999145509,105026.38062108296,4976.2088704991975,80.84718945218495,7.458778787159464,80.85879397908089,7.47036120716913,483779.2881286724,825108.7990463696
LS_00098,80.84632746621173,7.460684674601051,905.4530466711676,111.81691944727636,80.84052509750526,7.4548932988700605,80.8521296916374,7.466475890227244,483043.88230041147,824679.4197780264
LS_00100,80.84213471412659,7.453945159912109,4509.54568799355,431.9487761858586,80.83633237250713,7.44815377343625,80.84793689331899,7.459736472292784,482580.9894746624,823934.5354498696
LS_00102,80.83835124969482,7.445268630981445,4476.794534805167,482.993808479698,80.8325489870169,7.439477219481616,80.84415337186964,7.451060015004265,482163.1663684444,822975.5036968696
LS_00104,80.83584594726562,7.43964958190918,3690.827425392028,426.7240967780598,80.830043722138,7.433858115216312,80.8416480203465,7.445440974598321,481886.4921296975,822354.4246570601
LS_00112,80.85133965810141,7.42982292175293,7672.397447675518,623.0307948679408,80.84553780546987,7.424031711631327,80.85714144302612,7.435614174213507,483595.77815201104,821267.4929606244
LS_00113,80.89238529205322,7.420053482055664,20608.06974390765,985.9672452999478,80.88658401533354,7.414262739118479,80.89818633723337,7.425844149179262,488124.78450807865,820186.1835389466
LS_00117,80.82170508458064,7.426992416381836,8858.636859996386,919.4388855050804,80.81590284785963,7.4212007699317795,80.82750716798724,7.432783989431595,480325.5567390595,820955.7896002757
LS_00126,80.82098020826066,7.44398307800293,4116.113618458342,419.4495467948185,80.81517770015601,7.438191381224938,80.82678249560182,7.449774620985811,480246.3274869669,822834.1252291269
LS_00134,80.85150194168091,7.498687744140625,3785.6479662000834,371.56862003194095,80.84569867020763,7.492896724375664,80.85730415482386,7.504479182562511,483616.24892051297,828880.4338920217
LS_00135,80.77836537361145,7.498706817626953,3411.4413910575654,565.6824862133286,80.77256177232121,7.492914610266991,80.7841691419241,7.504498949192932,475547.0792989845,828885.9438594843
LS_00138,80.76943039894104,7.508712768554687,13554.335136098984,1306.070998122996,80.76362569191929,7.502915926007597,80.77523356367898,7.514500496227106,474561.86089520104,829992.6078930923
LS_00146,80.76694808006286,7.489015579223633,20761.349874908425,1680.9902029051943,80.76114434564401,7.483223227424261,80.77275174324006,7.49480785543322,474286.8357874902,827815.2315240186
LS_00152,80.80588376522064,7.433174133300781,8606.462247582775,610.8131359687255,80.8000812306615,7.4273822854091325,80.81168612076029,7.438965908712249,478580.0028702243,821639.9070443203
LS_00153,80.78423595428467,7.452409744262695,1699.105987725889,154.52199992511896,80.77843291271404,7.446617618339831,80.79003887421709,7.458201796324307,476192.2751559975,823767.4983507476
LS_00159,80.72392904758453,7.440322875976562,9894.646030351814,673.1437317331382,80.71812836963953,7.434524679364884,80.72973553221188,7.446110379948047,469537.0425942199,822435.000282424
LS_00160,80.71707057952881,7.430984497070312,5164.181389391329,560.1784006241602,80.71126743688832,7.425191723266057,80.7228745181315,7.436777592211123,468779.5815760941,821403.1210483143
