landslide_id,status,scene_id,scene_cloud,patch_cloud,acquisition_date,window_used,tif_path,png_path,error
LS_00418,success,S2C_MSIL2A_20251003T050621_R076_T44NMP_20251003T090812,2.112417,0.0,2025-10-03,2025-09-01/2025-11-20,E:\LandSlide-Prediction\data\pre_event\native_tif\LS_00418.tif,E:\LandSlide-Prediction\data\pre_event\png_256\LS_00418.png,
LS_00422,success,S2B_MSIL2A_20251031T045839_R119_T44NMP_20251031T072153,16.524501,0.0,2025-10-31,2025-09-01/2025-11-20,E:\LandSlide-Prediction\data\pre_event\native_tif\LS_00422.tif,E:\LandSlide-Prediction\data\pre_event\png_256\LS_00422.png,
LS_00423,success,S2B_MSIL2A_20251031T045839_R119_T44NMP_20251031T072153,16.524501,0.0,2025-10-31,2025-09-01/2025-11-20,E:\LandSlide-Prediction\data\pre_event\native_tif\LS_00423.tif,E:\LandSlide-Prediction\data\pre_event\png_256\LS_00423.png,
LS_00424,success,S2B_MSIL2A_20251031T045839_R119_T44NMN_20251031T072153,14.801013,0.0,2025-10-31,2025-09-01/2025-11-20,E:\LandSlide-Prediction\data\pre_event\native_tif\LS_00424.tif,E:\LandSlide-Prediction\data\pre_event\png_256\LS_00424.png,
LS_00425,success,S2B_MSIL2A_20251031T045839_R119_T44NMN_20251031T072153,14.801013,0.0,2025-10-31,2025-09-01/2025-11-20,E:\LandSlide-Prediction\data\pre_event\native_tif\LS_00425.tif,E:\LandSlide-Prediction\data\pre_event\png_256\LS_00425.png,
LS_00426,success,S2B_MSIL2A_20250911T045659_R119_T44NMP_20250911T084431,52.030182,5.4,2025-09-11,2025-09-01/2025-11-20,E:\LandSlide-Prediction\data\pre_event\native_tif\LS_00426.tif,E:\LandSlide-Prediction\data\pre_event\png_256\LS_00426.png,
LS_00427,success,S2C_MSIL2A_20251006T045711_R119_T44NMP_20251006T093213,47.28899,2.44,2025-10-06,2025-09-01/2025-11-20,E:\LandSlide-Prediction\data\pre_event\native_tif\LS_00427.tif,E:\LandSlide-Prediction\data\pre_event\png_256\LS_00427.png,
LS_00428,success,S2B_MSIL2A_20251031T045839_R119_T44NMN_20251031T072153,14.801013,0.0,2025-10-31,2025-09-01/2025-11-20,E:\LandSlide-Prediction\data\pre_event\native_tif\LS_00428.tif,E:\LandSlide-Prediction\data\pre_event\png_256\LS_00428.png,
LS_00429,success,S2B_MSIL2A_20251031T045839_R119_T44NMN_20251031T072153,14.801013,0.0,2025-10-31,2025-09-01/2025-11-20,E:\LandSlide-Prediction\data\pre_event\native_tif\LS_00429.tif,E:\LandSlide-Prediction\data\pre_event\png_256\LS_00429.png,
LS_00430,success,S2B_MSIL2A_20251031T045839_R119_T44NMN_20251031T072153,14.801013,0.0,2025-10-31,2025-09-01/2025-11-20,E:\LandSlide-Prediction\data\pre_event\native_tif\LS_00430.tif,E:\LandSlide-Prediction\data\pre_event\png_256\LS_00430.png,
