landslide_id,status,scene_id,scene_cloud,patch_cloud,acquisition_date,window_used,tif_path,png_path,error
LS_00023,success,S2C_MSIL2A_20260114T050151_R119_T44NMP_20260114T080009,45.836863,0.1,2026-01-14,2025-12-16/2026-01-31,E:\LandSlide-Prediction\data\post_event\native_tif\LS_00023.tif,E:\LandSlide-Prediction\data\post_event\png_256\LS_00023.png,
LS_00024,success,S2C_MSIL2A_20251205T050211_R119_T44NMP_20251205T075508,39.278153,0.29,2025-12-05,2025-11-29/2025-12-15,E:\LandSlide-Prediction\data\post_event\native_tif\LS_00024.tif,E:\LandSlide-Prediction\data\post_event\png_256\LS_00024.png,
LS_00025,success,S2C_MSIL2A_20251205T050211_R119_T44NMP_20251205T075508,39.278153,0.0,2025-12-05,2025-11-29/2025-12-15,E:\LandSlide-Prediction\data\post_event\native_tif\LS_00025.tif,E:\LandSlide-Prediction\data\post_event\png_256\LS_00025.png,
LS_00026,success,S2C_MSIL2A_20251205T050211_R119_T44NMP_20251205T075508,39.278153,0.0,2025-12-05,2025-11-29/2025-12-15,E:\LandSlide-Prediction\data\post_event\native_tif\LS_00026.tif,E:\LandSlide-Prediction\data\post_event\png_256\LS_00026.png,
LS_00027,success,S2C_MSIL2A_20251205T050211_R119_T44NMP_20251205T075508,39.278153,0.0,2025-12-05,2025-11-29/2025-12-15,E:\LandSlide-Prediction\data\post_event\native_tif\LS_00027.tif,E:\LandSlide-Prediction\data\post_event\png_256\LS_00027.png,
LS_00028,success,S2C_MSIL2A_20251205T050211_R119_T44NMP_20251205T075508,39.278153,0.0,2025-12-05,2025-11-29/2025-12-15,E:\LandSlide-Prediction\data\post_event\native_tif\LS_00028.tif,E:\LandSlide-Prediction\data\post_event\png_256\LS_00028.png,
LS_00029,success,S2C_MSIL2A_20251205T050211_R119_T44NMP_20251205T075508,39.278153,0.0,2025-12-05,2025-11-29/2025-12-15,E:\LandSlide-Prediction\data\post_event\native_tif\LS_00029.tif,E:\LandSlide-Prediction\data\post_event\png_256\LS_00029.png,
LS_00030,success,S2C_MSIL2A_20251205T050211_R119_T44NMP_20251205T075508,39.278153,0.0,2025-12-05,2025-11-29/2025-12-15,E:\LandSlide-Prediction\data\post_event\native_tif\LS_00030.tif,E:\LandSlide-Prediction\data\post_event\png_256\LS_00030.png,
LS_00031,success,S2C_MSIL2A_20251205T050211_R119_T44NMP_20251205T075508,39.278153,0.0,2025-12-05,2025-11-29/2025-12-15,E:\LandSlide-Prediction\data\post_event\native_tif\LS_00031.tif,E:\LandSlide-Prediction\data\post_event\png_256\LS_00031.png,
LS_00032,success,S2C_MSIL2A_20251205T050211_R119_T44NMP_20251205T075508,39.278153,0.0,2025-12-05,2025-11-29/2025-12-15,E:\LandSlide-Prediction\data\post_event\native_tif\LS_00032.tif,E:\LandSlide-Prediction\data\post_event\png_256\LS_00032.png,
LS_00033,success,S2C_MSIL2A_20251205T050211_R119_T44NMP_20251205T075508,39.278153,0.0,2025-12-05,2025-11-29/2025-12-15,E:\LandSlide-Prediction\data\post_event\native_tif\LS_00033.tif,E:\LandSlide-Prediction\data\post_event\png_256\LS_00033.png,
LS_00034,success,S2C_MSIL2A_20251205T050211_R119_T44NMP_20251205T075508,39.278153,0.24,2025-12-05,2025-11-29/2025-12-15,E:\LandSlide-Prediction\data\post_event\native_tif\LS_00034.tif,E:\LandSlide-Prediction\data\post_event\png_256\LS_00034.png,
LS_00035,success,S2C_MSIL2A_20251205T050211_R119_T44NMP_20251205T075508,39.278153,10.5,2025-12-05,2025-11-29/2025-12-15,E:\LandSlide-Prediction\data\post_event\native_tif\LS_00035.tif,E:\LandSlide-Prediction\data\post_event\png_256\LS_00035.png,
LS_00036,success,S2C_MSIL2A_20251205T050211_R119_T44NMP_20251205T075508,39.278153,17.24,2025-12-05,2025-11-29/2025-12-15,E:\LandSlide-Prediction\data\post_event\native_tif\LS_00036.tif,E:\LandSlide-Prediction\data\post_event\png_256\LS_00036.png,
LS_00037,success,S2C_MSIL2A_20251205T050211_R119_T44NMP_20251205T075508,39.278153,0.0,2025-12-05,2025-11-29/2025-12-15,E:\LandSlide-Prediction\data\post_event\native_tif\LS_00037.tif,E:\LandSlide-Prediction\data\post_event\png_256\LS_00037.png,
LS_00038,success,S2C_MSIL2A_20251205T050211_R119_T44NMP_20251205T075508,39.278153,3.44,2025-12-05,2025-11-29/2025-12-15,E:\LandSlide-Prediction\data\post_event\native_tif\LS_00038.tif,E:\LandSlide-Prediction\data\post_event\png_256\LS_00038.png,
LS_00039,success,S2C_MSIL2A_20251205T050211_R119_T44NMP_20251205T075508,39.278153,7.62,2025-12-05,2025-11-29/2025-12-15,E:\LandSlide-Prediction\data\post_event\native_tif\LS_00039.tif,E:\LandSlide-Prediction\data\post_event\png_256\LS_00039.png,
LS_00040,success,S2C_MSIL2A_20251205T050211_R119_T44NMP_20251205T075508,39.278153,0.88,2025-12-05,2025-11-29/2025-12-15,E:\LandSlide-Prediction\data\post_event\native_tif\LS_00040.tif,E:\LandSlide-Prediction\data\post_event\png_256\LS_00040.png,
LS_00041,success,S2C_MSIL2A_20251205T050211_R119_T44NMP_20251205T075508,39.278153,8.64,2025-12-05,2025-11-29/2025-12-15,E:\LandSlide-Prediction\data\post_event\native_tif\LS_00041.tif,E:\LandSlide-Prediction\data\post_event\png_256\LS_00041.png,
LS_00042,success,S2C_MSIL2A_20251205T050211_R119_T44NMP_20251205T075508,39.278153,11.77,2025-12-05,2025-11-29/2025-12-15,E:\LandSlide-Prediction\data\post_event\native_tif\LS_00042.tif,E:\LandSlide-Prediction\data\post_event\png_256\LS_00042.png,
LS_00043,success,S2C_MSIL2A_20251205T050211_R119_T44NMP_20251205T075508,39.278153,0.0,2025-12-05,2025-11-29/2025-12-15,E:\LandSlide-Prediction\data\post_event\native_tif\LS_00043.tif,E:\LandSlide-Prediction\data\post_event\png_256\LS_00043.png,
LS_00044,success,S2C_MSIL2A_20251205T050211_R119_T44NMP_20251205T075508,39.278153,0.0,2025-12-05,2025-11-29/2025-12-15,E:\LandSlide-Prediction\data\post_event\native_tif\LS_00044.tif,E:\LandSlide-Prediction\data\post_event\png_256\LS_00044.png,
LS_00045,success,S2C_MSIL2A_20251205T050211_R119_T44NMP_20251205T075508,39.278153,0.0,2025-12-05,2025-11-29/2025-12-15,E:\LandSlide-Prediction\data\post_event\native_tif\LS_00045.tif,E:\LandSlide-Prediction\data\post_event\png_256\LS_00045.png,
LS_00046,success,S2C_MSIL2A_20251205T050211_R119_T44NMP_20251205T075508,39.278153,0.05,2025-12-05,2025-11-29/2025-12-15,E:\LandSlide-Prediction\data\post_event\native_tif\LS_00046.tif,E:\LandSlide-Prediction\data\post_event\png_256\LS_00046.png,
LS_00047,success,S2C_MSIL2A_20251205T050211_R119_T44NMP_20251205T075508,39.278153,0.0,2025-12-05,2025-11-29/2025-12-15,E:\LandSlide-Prediction\data\post_event\native_tif\LS_00047.tif,E:\LandSlide-Prediction\data\post_event\png_256\LS_00047.png,
LS_00048,success,S2B_MSIL2A_20251130T050049_R119_T44NMP_20251130T071239,6.490579,0.0,2025-11-30,2025-11-29/2025-12-15,E:\LandSlide-Prediction\data\post_event\native_tif\LS_00048.tif,E:\LandSlide-Prediction\data\post_event\png_256\LS_00048.png,
LS_00049,success,S2B_MSIL2A_20251130T050049_R119_T44NMP_20251130T071239,6.490579,0.0,2025-11-30,2025-11-29/2025-12-15,E:\LandSlide-Prediction\data\post_event\native_tif\LS_00049.tif,E:\LandSlide-Prediction\data\post_event\png_256\LS_00049.png,
LS_00050,success,S2B_MSIL2A_20251130T050049_R119_T44NMP_20251130T071239,6.490579,0.0,2025-11-30,2025-11-29/2025-12-15,E:\LandSlide-Prediction\data\post_event\native_tif\LS_00050.tif,E:\LandSlide-Prediction\data\post_event\png_256\LS_00050.png,
LS_00051,success,S2B_MSIL2A_20251130T050049_R119_T44NMP_20251130T071239,6.490579,0.0,2025-11-30,2025-11-29/2025-12-15,E:\LandSlide-Prediction\data\post_event\native_tif\LS_00051.tif,E:\LandSlide-Prediction\data\post_event\png_256\LS_00051.png,
